,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
385,Slumdog Millionaire,(2008),120 min,8.0,84        ,"864,094",$141.32M,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
386,Contratiempo,(2016),106 min,8.0,****,"185,791",%^%^%^,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
387,Do the Right Thing,(1989),120 min,8.0,93        ,"108,381",$27.55M,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
388,Dogville,(2003),178 min,8.0,61        ,"154,636",$1.53M,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
389,The King's Speech,(2010),118 min,8.0,88        ,"696,387",$138.80M,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
390,Chung Hing sam lam,(1994),102 min,8.0,78        ,"90,186",$0.60M,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
391,Annie Hall,(1977),93 min,8.0,92        ,"272,322",$39.20M,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
392,The Bourne Ultimatum,(2007),115 min,8.0,85        ,"648,442",$227.47M,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
393,Butch Cassidy and the Sundance Kid,(1969),110 min,8.0,66        ,"222,568",$102.31M,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
394,Life of Brian,(1979),94 min,8.0,77        ,"413,517",$20.05M,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
395,Sling Blade,(1996),135 min,8.0,84        ,"96,829",$24.48M,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
396,Rio Bravo,(1959),141 min,8.0,93        ,"66,071",$12.54M,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
397,The Last Picture Show,(1971),118 min,8.0,93        ,"50,700",$29.13M,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
398,Papillon,(1973),151 min,8.0,58        ,"135,413",$53.27M,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape."
399,Roman Holiday,(1953),118 min,8.0,78        ,"143,985",%^%^%^,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
400,Bãhubali: The Beginning,(2015),159 min,8.0,****,"131,723",$6.74M,"A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler."
401,Ip Man,(2008),106 min,8.0,59        ,"230,132",%^%^%^,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
402,High Noon,(1952),85 min,8.0,89        ,"107,946",$9.45M,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train."
403,Fiddler on the Roof,(1971),181 min,8.0,67        ,"46,013",$80.50M,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
404,8½,(1963),138 min,8.0,93        ,"122,325",$0.05M,A harried movie director retreats into his memories and fantasies.
405,Gandhi,(1982),191 min,8.0,79        ,"237,301",$52.77M,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
406,Solaris,(1972),167 min,8.0,93        ,"95,557",%^%^%^,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
407,Mommy,(I) (2014),139 min,8.0,74        ,"59,976",$3.49M,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
408,Kaze no tani no Naushika,(1984),117 min,8.0,86        ,"176,277",$0.50M,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
409,Tenkû no shiro Rapyuta,(1986),125 min,8.0,78        ,"174,575",%^%^%^,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
410,What Ever Happened to Baby Jane?,(1962),134 min,8.0,75        ,"59,557",$4.05M,A former child star torments her paraplegic sister in their decaying Hollywood mansion.
411,Cinderella Man,(2005),144 min,8.0,69        ,"193,819",$61.65M,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
412,The Night of the Hunter,(1955),92 min,8.0,97        ,"93,785",$0.65M,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
413,Pink Floyd: The Wall,(1982),95 min,8.0,47        ,"83,674",$22.24M,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
414,Der Himmel über Berlin,(1987),128 min,8.0,79        ,"74,237",$3.33M,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
415,La dolce vita,(1960),174 min,8.0,95        ,"76,264",$19.52M,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.
416,The Straight Story,(1999),112 min,8.0,86        ,"94,395",$6.20M,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
417,Anatomy of a Murder,(1959),161 min,8.0,95        ,"69,154",$11.90M,"An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?"
418,The Maltese Falcon,(1941),100 min,8.0,97        ,"163,553",$2.11M,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
419,Zerkalo,(1975),107 min,8.0,82        ,"50,048",$0.18M,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation."
420,Mou gaan dou,(2002),101 min,8.0,75        ,"128,647",$0.17M,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop."
421,The Hustler,(1961),134 min,8.0,90        ,"84,965",$8.28M,An up-and-coming pool player plays a long-time champion in a single high-stakes match.
422,Das Cabinet des Dr. Caligari,(1920),76 min,8.0,****,"67,470",%^%^%^,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
423,WolfWalkers,(2020),103 min,8.0,87        ,"36,280",%^%^%^,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.
424,Fitzcarraldo,(1982),158 min,8.0,****,"37,096",%^%^%^,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle."
425,La leggenda del pianista sull'oceano,(1998),169 min,8.0,58        ,"67,418",$0.26M,"A baby boy discovered on an ocean liner in 1900 grows into a musical prodigy, never setting foot on land."
426,Touch of Evil,(1958),95 min,8.0,99        ,"107,653",$2.24M,"A stark, perverse story of murder, kidnapping and police corruption in a Mexican border town."
427,Tropa de Elite,(2007),115 min,8.0,33        ,"107,641",$0.01M,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits."
428,Who's Afraid of Virginia Woolf?,(1966),131 min,8.0,75        ,"78,217",%^%^%^,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night."
429,Secrets & Lies,(1996),136 min,8.0,92        ,"45,721",$13.42M,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London."
430,Out of the Past,(1947),97 min,8.0,85        ,"39,535",%^%^%^,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames."
